id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,year_built,year_tier,Closed,home_link,wikipedia_link,keywords,score
26615,VOHY,medium_airport,Begumpet Airport,17.4531002,78.46759796,1742,IN-TG,Hyderabad,0,VOHY,BPM,,1937,1950,n,,http://en.wikipedia.org/wiki/Begumpet_Airport,"Begumpet Air Force Station, HYD, Hyderabad Airport",475
26501,VEGT,medium_airport,Lokpriya Gopinath Bordoloi International Airport,26.10610008,91.58589935,162,IN-AS,Guwahati,1,VEGT,GAU,,1958,1960,n,http://aai.aero/guwahati/index.jsp,http://en.wikipedia.org/wiki/Lokpriya_Gopinath_Bordoloi_International_Airport,"Borjhar Airport, Mountain Shadow Air Force Station",925
26562,VIJO,medium_airport,Jodhpur Airport,26.25110054,73.04889679,717,IN-RJ,Jodhpur,1,VIJO,JDH,,1920,1950,n,,http://en.wikipedia.org/wiki/Jodhpur_Airport,Jodhpur Air Force Station,875
26545,VIBN,medium_airport,Lal Bahadur Shastri Airport,25.45240021,82.85929871,266,IN-UP,Varanasi,1,VIBN,VNS,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Varanasi_Airport,"Babatpur Airport, Varanasi Airport",1050
26446,VAID,medium_airport,Devi Ahilyabai Holkar Airport,22.72179985,75.80110168,1850,IN-MP,Indore,1,VAID,IDR,,1935,1950,n,http://aai.aero/allAirports/indore_technicalinfo.jsp,http://en.wikipedia.org/wiki/Devi_Ahilyabai_Holkar_International_Airport,,975
26610,VOCL,large_airport,Calicut International Airport,11.13679981,75.95529938,342,IN-KL,Calicut,1,VOCL,CCJ,,1988,1990,n,,http://en.wikipedia.org/wiki/Calicut_International_Airport,,950
26494,VEBS,medium_airport,Biju Patnaik Airport,20.24440002,85.81780243,138,IN-OR,Bhubaneswar,1,VEBS,BBI,,1962,1965,n,http://aai.aero/allAirports/bhubaneshwar_generalinfo.jsp,http://en.wikipedia.org/wiki/Biju_Patnaik_Airport,,925
26607,VOCB,medium_airport,Coimbatore International Airport,11.02999973,77.04340363,1324,IN-TN,Coimbatore,1,VOCB,CJB,,1940,1950,n,http://www.airportsindia.org.in/allAirports/coimbatore_generalinfo.jsp,http://en.wikipedia.org/wiki/Coimbatore_Airport,,925
26550,VICG,medium_airport,Chandigarh Airport,30.67350006,76.78849792,1012,IN-CH,Chandigarh,1,VICG,IXC,,1970,1970,n,,http://en.wikipedia.org/wiki/Chandigarh_Airport,Chandigarh Air Force Station,800
26523,VEVZ,small_airport,Visakhapatnam Airport,17.72120094,83.22450256,15,IN-AP,Visakhapatnam,1,VOVZ,VTZ,,1981,1985,n,http://www.airportsindia.org.in/allAirports/vishakapatnam.jsp,http://en.wikipedia.org/wiki/Visakhapatnam_Airport,"VEVZ, Visakhapatnam",450
26461,VASU,medium_airport,Surat Airport,21.1140995,72.7417984,16,IN-GJ,,1,VASU,STV,,n/a,#N/A,n,,,,250
30171,VAJJ,small_airport,Juhu Aerodrome,19.09810066,72.834198,13,IN-MM,Mumbai,0,VAJJ,,,1928,1950,y,http://www.airportsindia.org.in/allAirports/juhu.jsp,http://en.wikipedia.org/wiki/Juhu_Aerodrome,Bombay,50
26570,VILK,medium_airport,Chaudhary Charan Singh International Airport,26.76059914,80.88929749,410,IN-UP,Lucknow,1,VILK,LKO,,1986,1990,n,http://aai.aero/allAirports/lucknow_generalinfo.jsp,http://en.wikipedia.org/wiki/Amausi_Airport,Amausi International Airport,1050
26517,VEPT,medium_airport,Jay Prakash Narayan International Airport,25.59129906,85.08799744,170,IN-BR,Patna,1,VEPT,PAT,,1973,1975,n,http://airportsindia.org.in/allAirports/patna_techinfo.jsp,http://en.wikipedia.org/wiki/Lok_Nayak_Jayaprakash_Airport,,1050
26616,VOMD,medium_airport,Madurai Airport,9.83450985,78.09339905,459,IN-TN,Madurai,1,VOMD,IXM,,1942,1950,n,http://www.airportsindia.org.in/allAirports/madurai_airpo_gi.jsp,http://en.wikipedia.org/wiki/Madurai_Airport,Madurai Air Force Station,800
26491,VEBD,medium_airport,Bagdogra Airport,26.68120003,88.32859802,412,IN-WB,Siliguri,1,VEBD,IXB,,n/a,#N/A,n,http://aai.aero/allAirports/bagdogra_generalinfo.jsp,http://en.wikipedia.org/wiki/Bagdogra_Airport,Bagdogra Air Force Station,800
26578,VISR,medium_airport,Sheikh ul Alam Airport,33.98709869,74.77420044,5429,IN-JK,Srinagar,1,VISR,SXR,,1979,1980,n,,http://en.wikipedia.org/wiki/Srinagar_Airport,Srinagar Air Force Station,800
26462,VAUD,medium_airport,Maharana Pratap Airport,24.61770058,73.89610291,1684,IN-RJ,Udaipur,1,VAUD,UDR,,n/a,#N/A,n,http://www.airportsindia.org.in/allAirports/udaipur_airpo_gi.jsp,http://en.wikipedia.org/wiki/Udaipur_Airport,Dabok Airport,1025
26433,VAAU,medium_airport,Aurangabad Airport,19.86269951,75.39810181,1911,IN-MM,Aurangabad,1,VAAU,IXU,,1998,2000,n,http://aai.aero/allAirports/aurangabad_generalinfo.jsp,http://en.wikipedia.org/wiki/Aurangabad_Airport,Chikkalthana Airport,925
26436,VABJ,medium_airport,Bhuj Airport,23.28779984,69.67019653,268,IN-GJ,Bhuj,1,VABJ,BHJ,,n/a,#N/A,n,http://aai.aero/allAirports/bhuj_generalinfo.jsp,http://en.wikipedia.org/wiki/Bhuj_Airport,"Bhuj Rudra Mata Air Force Station, Shyamji Krishna Verma, Bhuj Airport",825
26606,VOBZ,medium_airport,Vijayawada Airport,16.53039932,80.79679871,82,IN-AP,,1,VOBZ,VGA,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Vijayawada_Airport,,800
26459,VARP,small_airport,Raipur Airport,21.18040085,81.73880005,1041,IN-CT,Raipur,1,VARP,RPR,,n/a,#N/A,n,http://aai.aero/allAirports/raipur_generalinfo.jsp,http://en.wikipedia.org/wiki/Raipur_Airport,Mana Airport,800
26622,VOPN,medium_airport,Sri Sathya Sai Airport,14.14929962,77.79109955,1558,IN-AP,Puttaparthi,0,VOPN,PUT,,1990,1990,n,,http://en.wikipedia.org/wiki/Sri_Sathya_Sai_Airport,,250
3319,VE89,small_airport,Darbhanga Airport,26.19280052,85.91690063,156,IN-BR,,0,VE89,,VE89,n/a,#N/A,n,,,,50
3299,VA2C,small_airport,Gondia Airport,21.52619934,80.29039764,990,IN-MM,,0,VAGD,,VA2C,1940,1950,n,,,,50
26453,VANP,medium_airport,Dr. Babasaheb Ambedkar International Airport,21.09219933,79.04720306,1033,IN-MM,Naqpur,1,VANP,NAG,,1949,1950,n,http://aai.aero/allAirports/nagpur1_generalinfo.jsp,http://en.wikipedia.org/wiki/Dr._Babasaheb_Ambedkar_International_Airport,"Sonegaon Airport, Sonegaon Air Force Station",1050
26458,VARK,medium_airport,Rajkot Airport,22.30920029,70.77950287,441,IN-GJ,Rajkot,1,VARK,RAJ,,n/a,#N/A,n,http://www.airportsindia.org.in/allAirports/rajkot.jsp,http://en.wikipedia.org/wiki/Rajkot_Airport,,1025
26439,VABP,medium_airport,Raja Bhoj International Airport,23.28750038,77.33740234,1711,IN-MP,Bhopal,1,VABP,BHO,,2011,2015,n,http://aai.aero/allAirports/bhopal_generalinfo.jsp,http://en.wikipedia.org/wiki/Bhopal_Airport,,925
26504,VEIM,medium_airport,Imphal Airport,24.76000023,93.896698,2540,IN-MN,Imphal,1,VEIM,IMF,,1945,1950,n,http://www.aai.aero/allAirports/imphal_gen.jsp,http://en.wikipedia.org/wiki/Imphal_Airport,,925
26519,VERC,medium_airport,Birsa Munda Airport,23.31430054,85.32170105,2148,IN-JH,Ranchi,1,VERC,IXR,,n/a,#N/A,n,http://airportsindia.org.in/allAirports/ranchi.jsp,http://en.wikipedia.org/wiki/Birsa_Munda_Airport,,925
26448,VAJM,medium_airport,Jamnagar Airport,22.46549988,70.01260376,69,IN-GJ,Jamnagar,1,VAJM,JGA,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Jamnagar_Airport,Jamnagar Air Force Station,825
26489,VEAT,medium_airport,Agartala Airport,23.88699913,91.24040222,46,IN-TR,Agartala,1,VEAT,IXA,,1942,1950,n,,http://en.wikipedia.org/wiki/Agartala_Airport,"Singerbhil Airport, Agartala Air Force Station",800
26507,VEJT,medium_airport,Jorhat Airport,26.73150063,94.17549896,311,IN-AS,Jorhat,1,VEJT,JRH,,1951,1955,n,http://aai.aero/allAirports/jorhat_airpo_gi.jsp,http://en.wikipedia.org/wiki/Jorhat_Airport,"Rowriah Airport, Jorhat Air Force Station",800
26569,VILH,medium_airport,Leh Kushok Bakula Rimpochee Airport,34.13589859,77.54650116,10682,IN-JK,Leh,1,VILH,IXL,,n/a,#N/A,n,http://airportsindia.org.in/allAirports/leh_generalinfo.jsp,http://en.wikipedia.org/wiki/Leh_Kushok_Bakula_Rimpochee_Airport,Leh Air Force Station,800
26620,VOPB,medium_airport,Vir Savarkar International Airport,11.64120007,92.72969818,14,IN-AN,Port Blair,1,VOPB,IXZ,,2005,2005,n,,http://en.wikipedia.org/wiki/Vir_Savarkar_Airport,"Port Blair Airport, Port Blair Air Force Station",800
26623,VORY,medium_airport,Rajahmundry Airport,17.11039925,81.81819916,151,IN-AP,Rajahmundry,1,VORY,RJA,,n/a,#N/A,n,http://aai.aero/allAirports/rajahmundry_generalinfo.jsp,http://en.wikipedia.org/wiki/Rajahmundry_Airport,,800
26627,VOTP,small_airport,Tirupati Airport,13.63249969,79.54329681,350,IN-AP,Tirupati,1,VOTP,TIR,,1976,1980,n,http://aai.aero/allAirports/tirupati_generalinfo.jsp,http://en.wikipedia.org/wiki/Tirupati_Airport,,450
26450,VAKJ,medium_airport,Khajuraho Airport,24.81719971,79.91860199,728,IN-MP,Khajuraho,1,VAKJ,HJR,,1978,1980,n,http://www.aai.aero/allAirports/khajuraho_generalinfo.jsp,http://en.wikipedia.org/wiki/Khajuraho_Airport,,325
26546,VIBR,medium_airport,Kullu Manali Airport,31.87669945,77.15440369,3573,IN-HP,,0,VIBR,KUU,,1950,1950,n,,,,250
26539,VIAM,medium_airport,Ambala Air Force Station,30.36809921,76.8167038,909,IN-HR,,0,VIAM,,VI18,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Halwara_Air_Force_Base,,250
26538,VIAL,medium_airport,Allahabad Airport,25.44009972,81.73390198,322,IN-UP,Allahabad,0,VIAL,IXD,,1919,1950,n,http://aai.aero/allAirports/allahabad.jsp,http://en.wikipedia.org/wiki/Allahabad_Airport,"Allahabad Bamrauli Airport, Bamrauli Air Force Station",250
3340,VO52,small_airport,Harihar Airport,14.53509998,75.78739929,1750,IN-KA,,0,VO52,,VO52,n/a,#N/A,n,,,,50
26499,VEDX,small_airport,Kalaikunda Air Force Station,22.33950043,87.21450043,200,IN-WB,,0,VEDX,,,n/a,#N/A,n,,,VE60,50
46518,IN-0024,small_airport,Baramati Airport,18.22694444,74.59083333,1978,IN-MM,Pune,0,,,,1996,2000,n,,,,0
26628,VOTR,medium_airport,Tiruchirapally Civil Airport Airport,10.76539993,78.70970154,288,IN-TN,Tiruchirappally,1,VOTR,TRZ,,1941,1950,n,,http://en.wikipedia.org/wiki/Tiruchirapalli_Airport,Tiruchirappalli,1000
26565,VIJU,medium_airport,Jammu Airport,32.68909836,74.83740234,1029,IN-JK,Jammu,1,VIJU,IXJ,,2005,2005,n,,http://en.wikipedia.org/wiki/Jammu_Airport,Satwari Airport,975
26440,VABV,medium_airport,Bhavnagar Airport,21.75219917,72.18520355,44,IN-GJ,Bhavnagar,1,VABV,BHU,,n/a,#N/A,n,http://aai.aero/allAirports/bhavnagar.jsp,http://en.wikipedia.org/wiki/Bhavnagar_Airport,,825
26502,VEGY,medium_airport,Gaya Airport,24.74430084,84.95120239,380,IN-BR,,1,VEGY,GAY,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Gaya_Airport,,800
26554,VIDN,medium_airport,Dehradun Airport,30.18969917,78.18029785,1831,IN-UP,Dehradun,1,VIDN,DED,,1974,1975,n,http://aai.aero/allAirports/dehradun_generalinfo.jsp,http://en.wikipedia.org/wiki/Jolly_Grant_Airport,,800
26454,VANR,closed,Gandhinagar Airport,19.96369934,73.80760193,1959,IN-MM,Nashik,1,VANR,,,n/a,#N/A,y,,http://en.wikipedia.org/wiki/Gandhinagar_Airport,"ISK, Nasik Road Airport",800
26456,VAPR,medium_airport,Porbandar Airport,21.64870071,69.65720367,23,IN-GJ,Porbandar,1,VAPR,PBD,,n/a,#N/A,n,http://www.airportsindia.org.in/allAirports/porbander.jsp,http://en.wikipedia.org/wiki/Porbandar_Airport,,800
26445,VAHB,medium_airport,Hubli Airport,15.36170006,75.0848999,2171,IN-KA,Hubli,1,VOHB,HBX,,n/a,#N/A,n,http://www.airportsindia.org.in/allAirports/hubli_generalinfo.jsp,http://en.wikipedia.org/wiki/Hubli_Airport,VAHB,450
26512,VEMN,medium_airport,Dibrugarh Airport,27.48390007,95.01689911,362,IN-AS,Dibrugarh,1,VEMN,DIB,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Dibrugarh_Airport,Mohanbari Air Force Station,325
26557,VIGG,medium_airport,Kangra Airport,32.1651001,76.26339722,2525,IN-HP,,0,VIGG,DHM,,n/a,#N/A,n,,,,250
26576,VISM,small_airport,Shimla Airport,31.0818,77.068001,5072,IN-HP,,0,VISM,SLV,,n/a,#N/A,n,,https://en.wikipedia.org/wiki/Shimla_Airport,,250
26506,VEJS,medium_airport,Jamshedpur Airport,22.8132,86.16880035,475,IN-JH,,0,VEJS,IXW,,1940,1950,n,,,,250
26605,VOBR,medium_airport,Bidar Air Force Station,17.90810013,77.48709869,2178,IN-KA,,0,VOBR,,,n/a,#N/A,n,,,,250
26602,VOAT,medium_airport,Agatti Airport,10.82369995,72.1760025,14,IN-LD,,0,VOAT,AGX,,1987,1990,n,,http://en.wikipedia.org/wiki/Agatti_Aerodrome,,250
26520,VERK,medium_airport,Rourkela Airport,22.25670052,84.81459808,659,IN-OR,,0,VERK,RRK,,1950,1950,n,,,,250
26547,VIBT,medium_airport,Bhatinda Air Force Station,30.27009964,74.75579834,662,IN-PB,,0,VIBT,BUP,,n/a,#N/A,n,,,,250
26571,VIPK,medium_airport,Pathankot Air Force Station,32.23379898,75.63459778,1017,IN-PB,,0,VIPK,IXP,,n/a,#N/A,n,,,,250
26621,VOPC,medium_airport,Pondicherry Airport,11.96870041,79.81009674,118,IN-TN,,0,VOPC,PNY,,1989,1990,n,,,,250
26537,VIAG,medium_airport,Agra Airport,27.15579987,77.96089935,551,IN-UP,,0,VIAG,AGR,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Agra_Airport,"Kheria Airport, Agra Air Force Station",250
26604,VOBI,medium_airport,Bellary Airport,15.16279984,76.88279724,30,IN-KA,Bellary,0,VOBI,BEP,,1932,1950,y,,http://en.wikipedia.org/wiki/Bellary_Airport,"Jindal Vijayanagar, Vijaynagar",250
26613,VODG,medium_airport,Dundigul Air Force Academy,17.62719917,78.40339661,2013,IN-TG,Hyderabad,0,VODG,,,1971,1975,n,,http://en.wikipedia.org/wiki/Dundigul_Air_Force_Academy,,250
26567,VIKO,medium_airport,Kota Airport,25.16020012,75.84559631,896,IN-RJ,Kota,0,VIKO,KTU,,1951,1955,n,,http://en.wikipedia.org/wiki/Kota_Airport,,250
26608,VOCC,small_airport,Willingdon Island Air Base,9.947389603,76.27310181,8,IN-KL,Kochi,0,VOCC,,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Willingdon_Island,"RAF Willingdon Island, Gochin, COK",125
26619,VONS,small_airport,Nagarjuna Sagar Airport,16.54269981,79.3187027,658,IN-AP,,0,VONS,,,n/a,#N/A,y,,,,50
26493,VEBK,small_airport,Bokaro Airport,23.64349937,86.14890289,715,IN-BR,,0,VEBK,,,n/a,#N/A,n,,,,50
3286,VA1E,closed,Bhilai Airport,21.2942009,81.37950134,1014,IN-CT,,0,VA1E,,VA1E,n/a,#N/A,y,,,,50
3291,VA1K,small_airport,Raedhanpur Airport,23.22229958,68.89129639,135,IN-GJ,,0,VA1K,,VA1K,n/a,#N/A,n,,,Naliya Air Force Station,50
26548,VIBW,small_airport,Bhiwani Airport,28.83699989,76.17910004,720,IN-HR,,0,VIBW,,,n/a,#N/A,n,,,,50
3310,VE36,small_airport,Nuagaon Airport,20.51169968,83.44809723,656,IN-OR,,0,VE36,,VE36,n/a,#N/A,n,,,,50
26572,VIPL,small_airport,Patiala Airport,30.31480026,76.36450195,820,IN-PB,,0,VIPL,,,n/a,#N/A,n,,,,50
26580,VIUT,small_airport,Uttarlai Airport,25.81299973,71.4822998,500,IN-RJ,,0,VIUT,,,n/a,#N/A,n,,,Uttarlai Air Force Station,50
26614,VOHK,small_airport,Hakimpet Airport,17.55349922,78.52490234,2020,IN-TG,,0,VOHK,,,n/a,#N/A,n,,,"Hakimpeth Air Force Station, Hakimpet Air Force Station, VO28",50
26574,VIRB,small_airport,Fursatganj Airport,26.24850082,81.38050079,360,IN-UP,,0,VIRB,,,n/a,#N/A,n,,,,50
26551,VICX,small_airport,Chakeri Air Force Station,26.40430069,80.41010284,405,IN-UP,Kanpur,0,VICX,,,n/a,#N/A,n,,,,50
3301,VAOZ,small_airport,Ozar Airport,20.11910057,73.91290283,1900,IN-MM,Nasik,0,VAOZ,ISK,,1964,1965,n,,https://en.wikipedia.org/wiki/Ozar_Airport,VA35,50
3288,VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,1000,IN-MP,Rewa,1,VA1G,REW,VA1G,n/a,#N/A,n,,,,50
26625,VOSX,small_airport,Coimbatore Air Force Station,11.01360035,77.15969849,1250,IN-TN,Sulur,0,VOSX,,,n/a,#N/A,n,,,,50
26631,VOYK,small_airport,Yelahanka Air Force Station,13.13549995,77.60600281,3045,IN-KA,Yelahanka,0,VOYK,,,1942,1950,n,,http://en.wikipedia.org/wiki/Yelahanka_Air_Force_Station,,50
312234,IN-0090,small_airport,Deoghar Airstrip,24.44666667,86.70694444,361,IN-JH,,0,,,,n/a,#N/A,n,,,,0
299921,IN-0068,closed,kanha,22.0926386,80.59553146,,IN-MP,,0,,,,n/a,#N/A,y,,,,0
301051,IN-0074,small_airport,Barbil Aerodrome (JSPL),22.04861389,85.37419444,,IN-OR,,0,,,,n/a,#N/A,n,,,,0
309893,VEKJ,small_airport,KEONJHAR AIRPORT,21.69666667,85.58166667,,IN-OR,,1,VEKJ,,,n/a,#N/A,n,,,,0
44908,IN-0013,small_airport,Nadirgul Airport,17.30606651,78.56048584,1811,IN-TG,,0,,,,n/a,#N/A,n,http://www.aai.aero/allAirports/nadirgul.jsp,http://en.wikipedia.org/wiki/Nadirgul_Airport,"NDGL, Nadirgul,",0
309591,IN-0087,heliport,GAUCHER,30.28444444,79.16166667,,IN-UL,,0,,,,n/a,#N/A,n,,,,0
46481,IN-0023,small_airport,Amreli Airstrip,21.61985086,71.22333527,,IN-GJ,Amreli,0,,,,n/a,#N/A,y,,,,0
301145,IN-0077,closed,Bhagalpur Airport,25.249359,87.009779,,IN-BR,Bhagalpur,0,,,,n/a,#N/A,y,,,,0
44629,IN-VOHP,small_airport,"Kopal,Hospet Airport",15.358334,76.51667,1698,IN-KA,Hospete,0,,,VOHP,n/a,#N/A,n,,,"koppal,hospete,airport",0
44630,VOKP,small_airport,Koppal Aerodrome,15.35910034,76.21929932,1700,IN-KA,Koppal,0,VOKP,,,n/a,#N/A,n,,,,0
46581,IN-0053,small_airport,Shibpur Airstrip,13.2363163,93.04973066,,IN-AN,Madhupur,0,,,,n/a,#N/A,n,,,,0
26437,VABM,medium_airport,Belgaum Airport,15.85929966,74.61830139,2487,IN-KA,Belgaum,1,VOBM,IXG,,1942,1950,n,,http://en.wikipedia.org/wiki/Belgaum_Airport,VABM,825
26521,VETZ,medium_airport,Tezpur Airport,26.70910072,92.78469849,240,IN-AS,,1,VETZ,TEZ,,1942,1950,n,,http://en.wikipedia.org/wiki/Tezpur_Airport,"Salonibari Airport, Tezpur Air Force Station",800
26451,VAKP,medium_airport,Kolhapur Airport,16.66469955,74.28939819,1996,IN-MM,,1,VAKP,KLH,,1987,1990,n,,http://en.wikipedia.org/wiki/Kolhapur_Airport,,800
26447,VAJB,medium_airport,Jabalpur Airport,23.17779922,80.05200195,1624,IN-MP,,1,VAJB,JLR,,1930,1950,n,,http://en.wikipedia.org/wiki/Jabalpur_Airport,,800
26579,VIST,small_airport,Satna Airport,24.5623,80.854897,1060,IN-MP,,1,VIST,TNI,,n/a,#N/A,n,,,,800
26566,VIKA,medium_airport,Kanpur Airport,26.44140053,80.36489868,411,IN-UP,,1,VIKA,KNU,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Kanpur_Airport,,800
26490,VEAZ,heliport,Tuirial Airfield,23.7432,92.8024,1093,IN-MZ,Aizawl,0,VEAZ,,,n/a,#N/A,n,,,,800
26513,VEMR,medium_airport,Dimapur Airport,25.88389969,93.77110291,487,IN-NL,Dimapur,1,VEMR,DMU,,1942,1950,n,,http://en.wikipedia.org/wiki/Dimapur_Airport,,800
26558,VIGR,medium_airport,Gwalior Airport,26.29330063,78.22779846,617,IN-MP,Gwalior,1,VIGR,GWL,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Gwalior_Airport,Maharajpur Air Force Station,800
26511,VELR,medium_airport,North Lakhimpur Airport,27.2954998,94.09760284,330,IN-AS,Lilabari,1,VELR,IXI,,2003,2005,n,,http://en.wikipedia.org/wiki/Lilabari_Airport,,800
26492,VEBI,medium_airport,Shillong Airport,25.70359993,91.97869873,2910,IN-ML,Shillong,1,VEBI,SHL,,1974,1975,n,,http://en.wikipedia.org/wiki/Shillong_Airport,"Barapani Airport, Barapani Air Force Station, Umroi Airport",800
26509,VEKU,medium_airport,Silchar Airport,24.91290092,92.97869873,352,IN-AS,Silchar,1,VEKU,IXS,,1944,1950,n,http://aai.aero/allAirports/silchar_general.jsp,http://en.wikipedia.org/wiki/Silchar_Airport,Kumbhigram Air Force Station,800
3296,VA1P,small_airport,Diu Airport,20.71310043,70.9210968,31,IN-GJ,Diu,1,VA1P,DIU,VA1P,1954,1955,n,http://aai.aero/allAirports/diu_airpo_gi.jsp,http://en.wikipedia.org/wiki/Diu_Airport,,450
26612,VOCX,medium_airport,Car Nicobar Air Force Station,9.152509689,92.81960297,5,IN-AN,,0,VOCX,CBD,,1942,1950,n,,http://en.wikipedia.org/wiki/Car_Nicobar_Air_Force_Base,Carnicobar,250
26611,VOCP,medium_airport,Cuddapah Airport,14.51000023,78.77279663,430,IN-AP,,0,VOCP,CDP,,1953,1955,n,,http://en.wikipedia.org/wiki/Cuddapah_Airport,,250
26488,VEAN,medium_airport,Along Airport,28.1753006,94.80200195,900,IN-AR,,0,VEAN,IXV,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Along_Airport,,250
26524,VEZO,medium_airport,Zero Airport,27.5883007,93.82810211,5403,IN-AR,,0,VEZO,ZER,,n/a,#N/A,n,,http://en.wikipedia.org/wiki/Zero_Airport,,250
26498,VEDB,closed,Dhanbad Airport,23.83399963,86.4253006,847,IN-BR,,0,VEDB,DBD,,n/a,#N/A,y,,,,250
26514,VEMZ,closed,Muzaffarpur Airport,26.11910057,85.31369781,174,IN-BR,,0,VEMZ,MZU,,n/a,#N/A,y,,,,250
